method,method_label,depth,target_age,n,accuracy,mean_answer_ce,mean_teacher_answer_ce,mean_ce_gap_to_full,mean_kl_to_full,source_tokens,represented_source_tokens,memory_positions,source_tokens_per_position,mean_compaction_ms_per_chunk
full_context,Full context,1,overall,8,1.0,0.0005724170550820418,0.0005724170550820418,0.0,4.418287957719258e-10,64,64,64,1.0,
full_context,Full context,1,oldest,4,1.0,0.0007383082847809419,0.0007383082847809419,0.0,1.2147136629891975e-09,64,64,64,1.0,
full_context,Full context,1,middle,2,1.0,0.0005141233268659562,0.0005141233268659562,0.0,-2.2737367544323206e-08,64,64,64,1.0,
full_context,Full context,1,newest,2,1.0,0.0002989283239003271,0.0002989283239003271,0.0,2.2075255401432514e-08,64,64,64,1.0,
full_context,Full context,2,overall,8,1.0,0.0004032835531688761,0.0004032835531688761,0.0,-2.8827339959569542e-09,128,128,128,1.0,
full_context,Full context,2,oldest,4,1.0,0.0005173437893972732,0.0005173437893972732,0.0,-4.2447823034308385e-09,128,128,128,1.0,
full_context,Full context,2,middle,2,1.0,0.000235814386542188,0.000235814386542188,0.0,7.035851012915373e-09,128,128,128,1.0,
full_context,Full context,2,newest,2,1.0,0.00034263224733876996,0.00034263224733876996,0.0,-1.0077222389881513e-08,128,128,128,1.0,
full_context,Full context,4,overall,8,1.0,0.0012762983601533051,0.0012762983601533051,0.0,-4.604799874741161e-09,256,256,256,1.0,
full_context,Full context,4,oldest,4,1.0,0.0005425419503808371,0.0005425419503808371,0.0,-3.6253595681046136e-09,256,256,256,1.0,
full_context,Full context,4,middle,2,1.0,0.0009472433594055474,0.0009472433594055474,0.0,-1.640751179365907e-08,256,256,256,1.0,
full_context,Full context,4,newest,2,1.0,0.003072866180445999,0.003072866180445999,0.0,5.239031430903651e-09,256,256,256,1.0,
full_context,Full context,8,overall,8,1.0,0.001306233849390992,0.001306233849390992,0.0,-2.143480060112779e-09,512,512,512,1.0,
full_context,Full context,8,oldest,4,1.0,0.0012097351245756727,0.0012097351245756727,0.0,2.6778934625326656e-10,512,512,512,1.0,
full_context,Full context,8,middle,2,1.0,0.002127824816852808,0.002127824816852808,0.0,4.656612873077393e-10,512,512,512,1.0,
full_context,Full context,8,newest,2,1.0,0.0006776403315598145,0.0006776403315598145,0.0,-9.575160220265388e-09,512,512,512,1.0,
full_context,Full context,16,overall,8,1.0,0.0009807578535401262,0.0009807578535401262,0.0,-5.537047292891728e-09,1024,1024,1024,1.0,
full_context,Full context,16,oldest,4,1.0,0.0009454071841901168,0.0009454071841901168,0.0,-8.541974239051342e-09,1024,1024,1024,1.0,
full_context,Full context,16,middle,2,1.0,0.0016924092778936028,0.0016924092778936028,0.0,-8.440285026445338e-09,1024,1024,1024,1.0,
full_context,Full context,16,newest,2,1.0,0.00033980776788666844,0.00033980776788666844,0.0,3.3760443329811096e-09,1024,1024,1024,1.0,
full_context,Full context,32,overall,8,1.0,0.0007293547423614655,0.0007293547423614655,0.0,5.538311143027386e-09,2048,2048,2048,1.0,
full_context,Full context,32,oldest,4,1.0,0.001097138607292436,0.001097138607292436,0.0,7.748099051241297e-09,2048,2048,2048,1.0,
full_context,Full context,32,middle,2,1.0,0.0002143749297829345,0.0002143749297829345,0.0,1.3649696484208107e-08,2048,2048,2048,1.0,
full_context,Full context,32,newest,2,1.0,0.0005087668250780553,0.0005087668250780553,0.0,-6.992650014581159e-09,2048,2048,2048,1.0,
full_context,Full context,100,overall,8,1.0,0.0035880308569176123,0.0035880308569176123,0.0,-5.274046088743489e-09,6400,6400,6400,1.0,
full_context,Full context,100,oldest,4,1.0,0.004773684573592618,0.004773684573592618,0.0,-4.48198989033699e-09,6400,6400,6400,1.0,
